type	name	mode	prot	user	group	size	last-modified	directories	files
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/weaver.ini	0644	-rw-r--r--	500	500	437	2018-05-23T02:55:55		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt	0755	drwxr-xr-x	root	root	4096	2020-08-29T00:11:43		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/author	0755	drwxr-xr-x	500	500	4096	2020-08-29T00:11:43		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/author/eol.t	0644	-rw-r--r--	500	500	439	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/author/no-tabs.t	0644	-rw-r--r--	500	500	413	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/author/pod-coverage.t	0644	-rw-r--r--	500	500	220	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/author/pod-syntax.t	0644	-rw-r--r--	500	500	170	2018-05-23T02:55:55		
directory	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/release	0755	drwxr-xr-x	500	500	4096	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/release/cpan-changes.t	0644	-rw-r--r--	500	500	228	2018-05-23T02:55:55		
file	/home/aine/.local/share/.cpan/build/String-Random-0.30-0/xt/release/trailing-space.t	0644	-rw-r--r--	500	500	540	2018-05-23T02:55:55		
report								15	41
